360-06,2,24,3.220,77
360-07,0,31,8.935,105
360-08,1,40,8.934,113
360-08,2,12,13.464,86
360-08,3,2,36.055,
360-08,4,10,15.853,86
360-08,5,15,10.072,91
360-09,1,28,4.876,98
360-09,2,25,3.707,101
360-09,3,19,4.191,94
360-10,1,1,3.417,101
360-10,2,27,5.624,96
360-10,3,15,4.167,93
360-11,0,8,4.240,84
370-01,1,31,10.987,94
370-01,2,33,8.410,105
370-02,1,13,7.360,77
370-02,2,5,18.096,
370-02,3,12,13.978,66
370-02,4,9,4.268,98
370-03,1,30,4.618,69
370-03,2,12,4.350,69
370-04,1,8,5.905,89
370-04,2,6,7.296,75
370-04,3,4,3.631,76
370-04,4,53,1.709,64
370-04,5,15,728,
370-05,1,27,654,
370-05,2,8,1.004,66
378-01,0,7,,
380-01,1,6,20.336,69
380-01,2,3,8.426,78
380-01,3,17,4.004,71
380-01,4,24,2.932,92
380-02,1,10,3.445,83
380-02,2,12,,
380-02,3,23,3.102,79
380-03,1,33,2.334,87
380-03,2,19,2.383,71
380-03,3,11,3.907,92
390-01,0,40,785,82
400-01,0,49,4.326,
400-02,1,18,7.924,65
400-02,2,27,13.708,98
400-03,1,15,13.902,98
400-03,2,18,12.974,84
400-03,3,18,17.240,96
400-03,4,4,21.974,
400-03,5,1,22.403,
400-04,1,11,13.127,97
400-04,2,30,16.654,93
400-05,1,20,18.710,90
400-05,2,22,8.072,87
400-05,3,13,5.265,
400-06,1,23,7.711,76
400-06,2,24,5.273,75
400-06,3,10,5.270,73
400-07,1,37,2.723,88
400-07,2,27,4.370,67
400-07,3,2,14.136,
400-08,0,16,14.136,86
400-09,1,36,8.124,100
400-09,2,12,12.839,89
400-09,3,14,22.293,89
400-09,4,10,22.335,83
400-09,5,11,24.731,91
400-09,6,6,32.895,83
400-09,7,8,17.821,96
400-10,1,10,46.159,85
400-10,2,5,48.070,84
400-10,3,10,33.111,95
400-11,1,26,35.563,100
400-11,2,12,32.053,73
400-12,1,17,24.941,98
400-12,2,17,27.310,88
400-12,3,14,34.285,85
400-12,4,11,31.075,61
400-12,5,11,16.335,88
400-13,1,21,13.381,89
400-13,2,15,8.121,82
400-13,3,23,4.279,93
400-14,0,39,4.117,70
400-15,1,13,10.148,80
400-15,2,37,4.842,76
400-15,3,2,9.665,
400-16,1,24,4.935,90
400-16,2,38,10.557,94
400-16,3,11,19.549,85
400-17,1,10,19.583,90
400-17,2,10,15.286,76
400-17,3,12,16.187,93
400-17,4,13,28.968,83
400-17,5,16,36.949,65
